district,name,district_geoid,aland,awater
1,State House District 1,18001,53185339,9347340
2,State House District 2,18002,102043780,8066908
3,State House District 3,18003,130702524,305405241
4,State House District 4,18004,466706314,1998160
5,State House District 5,18005,113692012,2554233
6,State House District 6,18006,46284281,797168
7,State House District 7,18007,897055999,5808630
8,State House District 8,18008,146795565,2510170
9,State House District 9,18009,486743688,26766835
10,State House District 10,18010,187105458,264777390
11,State House District 11,18011,1633620590,11000115
12,State House District 12,18012,63862565,396258
13,State House District 13,18013,3995437425,11403601
14,State House District 14,18014,97924017,179988
15,State House District 15,18015,117262664,309580
16,State House District 16,18016,3657095224,20566406
17,State House District 17,18017,2346173021,23815236
18,State House District 18,18018,1627167713,50315844
19,State House District 19,18019,399880712,2367020
20,State House District 20,18020,1511634621,11980994
21,State House District 21,18021,418362589,624250
22,State House District 22,18022,1364247070,31487100
23,State House District 23,18023,1804047149,15939197
24,State House District 24,18024,472886940,1284119
25,State House District 25,18025,342409628,885476
26,State House District 26,18026,150651862,3234008
27,State House District 27,18027,87047082,1880389
28,State House District 28,18028,1256779461,2721353
29,State House District 29,18029,123198288,5968798
30,State House District 30,18030,500457778,1842908
31,State House District 31,18031,1214998060,2135270
32,State House District 32,18032,86147876,2632233
33,State House District 33,18033,2710115303,11977943
34,State House District 34,18034,105440721,711263
35,State House District 35,18035,1074142181,3633485
36,State House District 36,18036,237199106,469944
37,State House District 37,18037,437217670,5692609
38,State House District 38,18038,2642561976,11043654
39,State House District 39,18039,71691716,1371657
40,State House District 40,18040,111428454,945223
41,State House District 41,18041,1563792847,1673128
42,State House District 42,18042,2661529578,29854606
43,State House District 43,18043,254277151,6867956
44,State House District 44,18044,2035347904,7653879
45,State House District 45,18045,3521488959,37772423
46,State House District 46,18046,2011946643,13307049
47,State House District 47,18047,1088514588,5009574
48,State House District 48,18048,197260347,8477187
49,State House District 49,18049,431097979,3072337
50,State House District 50,18050,2071623832,34213090
51,State House District 51,18051,1511416646,48103936
52,State House District 52,18052,1395769412,10884266
53,State House District 53,18053,637252184,2315576
54,State House District 54,18054,2039900332,7374893
55,State House District 55,18055,2468931905,30482028
56,State House District 56,18056,1096288021,6757142
57,State House District 57,18057,208204411,2613393
58,State House District 58,18058,182803964,85484
59,State House District 59,18059,568663562,5054358
60,State House District 60,18060,1176356905,17775153
61,State House District 61,18061,51963398,490160
62,State House District 62,18062,1749213383,52024224
63,State House District 63,18063,2554181447,41694402
64,State House District 64,18064,2036890081,45302195
65,State House District 65,18065,2462545487,14021648
66,State House District 66,18066,1077796914,11669667
67,State House District 67,18067,2696675437,8873488
68,State House District 68,18068,1674378185,18209066
69,State House District 69,18069,1736106142,14197990
70,State House District 70,18070,1984154833,9762353
71,State House District 71,18071,97000216,1355785
72,State House District 72,18072,252269782,2043808
73,State House District 73,18073,1567816801,5021497
74,State House District 74,18074,3547392667,66554756
75,State House District 75,18075,1858657176,32592989
76,State House District 76,18076,1290572610,31420225
77,State House District 77,18077,75861297,1393195
78,State House District 78,18078,134196282,1686997
79,State House District 79,18079,2065726900,7690075
80,State House District 80,18080,67233466,490011
81,State House District 81,18081,338875482,792649
82,State House District 82,18082,64058359,140695
83,State House District 83,18083,570493974,396358
84,State House District 84,18084,84189207,118143
85,State House District 85,18085,1046102103,5697090
86,State House District 86,18086,87314841,583647
87,State House District 87,18087,84035264,2119367
88,State House District 88,18088,289983708,9133188
89,State House District 89,18089,96686448,179099
90,State House District 90,18090,105770761,72128
91,State House District 91,18091,147288065,397066
92,State House District 92,18092,69920811,5624318
93,State House District 93,18093,54900582,2672
94,State House District 94,18094,43539542,5301
95,State House District 95,18095,52295808,400471
96,State House District 96,18096,50937993,567852
97,State House District 97,18097,66971770,1724245
98,State House District 98,18098,52938261,19278
99,State House District 99,18099,48196970,1337223
100,State House District 100,18100,39605879,1208
